项目,规格
智能化要求,设备应装有两类条码识别系统：固定式扫码头与手持扫描器，可通过读取工艺流程卡上的二维码/条形码自动加载相应的生产工艺参数配置，同时具备参数新增及删除功能，历史数据存储容量应≥20笔；需完全符合要求
8、售后服务、备件及校准鉴定成本（含使用成本）,第八项：售后维护服务、备品备件以及检定校准等综合使用成本
设备控制系统、软件设计要求（含密码限制）,针对可编程逻辑控制器(PLC)及其配套计算机软件，供方须长期免费提供编程工具软件及技术支援，并保证程序版本的终身免费升级与维护服务
自动化,机器须预留AGV自动导引运输车的接口设计，确保硬件与软件配置满足自动化物流系统的对接要求
翻板功能,系统可通过识别基板上的二维码信息，自动判定是否需要将板件执行180°翻转动作
"主要部件品牌
The main components brands","25. 伺服电机品牌要求：Mitsubishi/Panasonic/Inovance
25. Servo motor brands: 三菱/松下/汇川"
"主要部件品牌
The main components brands","23. 自动投药泵品牌：日本IWAKI
23. Automatic chemical dosing pump: IWAKI brand"
"主要部件品牌
The main components brands","22. 过滤设备品牌：Pan world或IWAKI
22. Filtration equipment: Pan world / IWAKI"
"主要部件品牌
The main components brands","21. 齿轮减速电机品牌：东方马达/利茗/精石
21. Gear reduction motor: East/Lee Ming/精石"
"主要部件品牌
The main components brands","10. 指示灯具品牌：Fuji或idec
10. Indicator light brand: Fuji / idec"
"主要部件品牌
The main components brands","7. 传感器品牌：欧姆龙/基恩士/西克/京东方
7. Sensor brand: omron / keyence / sick / BOE"
"维护保养
maintenance","3.机台运转时各零部件须具备分段分类统计特性（类似汽车行驶里程记录）：例如海绵滚轮需记录实际运行时长、设定时长及密码清零功能等，涵盖蚀刻1号槽叶轮、蚀刻2号槽叶轮、隔离段滚轮；销钉、轴承套等部件，且可上传至工厂信息管理后台
3.Equipment running components must have segmented statistical tracking (similar to vehicle mileage): such as sponge roller actual usage time, preset time and password reset function, including etching tank 1 blade roller, etching tank 2 blade roller, isolation segment roller; pins, bushings, etc., and can be uploaded to factory information system"
"维护保养
maintenance","2.常规维修/拆装位置，螺丝应便于拆卸（拆卸后螺丝不得掉落）！
M4及以上规格螺丝需涂抹螺丝胶，胶水强度为低强度类型；M4以下规格螺杆使用前需涂覆厌氧胶并固化24小时后方可使用；需注意拆卸时的操作空间（不得使用特殊工具才能拆：常规工具无法转动或因过长干涉而无法拆装）
2.Regular maintenance/disassembly locations, screws should be easy to remove (screws must not fall after removal)!
M4 and above screws need thread locker adhesive, adhesive strength should be low-strength type; Screws below M4 need anaerobic adhesive coating and 24H curing before use; Pay attention to disassembly space (special tools should not be required: regular tools cannot rotate or interference prevents removal due to excessive length)"
"机构设计配接
Organization design","8.封闭式设备内部配有可调角度的监控摄像头，可保存30天以上录像，便于故障分析时追溯真实原因
8.The enclosed equipment has adjustable-angle surveillance cameras inside, which can save recordings for more than 30 days, facilitating root cause analysis during troubleshooting."
"机构设计配接
Organization design","7.所有真空吸嘴组件应配备集尘盒，上下滑动部位须使用UPE耐磨衬套，禁止金属对金属直接摩擦
7.All vacuum nozzle assemblies must have dust collection boxes. UPE wear-resistant bushings are required for up-and-down sliding parts. Metal-to-metal direct friction is not allowed."
"操作人性化
User-friendly operation","14.对于需对接洁净室的设备，洁净室封口处需采用透明板材制作，防止产品被正压气流吹起导致卡板现象（如下图所示）
14. For equipment interfacing with cleanrooms, the cleanroom sealing area needs transparent panel construction to prevent products from being blown up by positive pressure airflow causing jamming (as shown below)"
"操作人性化
User-friendly operation","12.管路标识要求：
12.1设备管路需标注流向、流体类型(中英文对照)，标识材质需耐酸碱，粘贴时需保持对称且呈90°直角，每1米标识一次
12.1 Equipment pipelines should be marked with flow direction and fluid type (Chinese and English), marking material should be acid and alkali resistant, should be symmetrical and at 90-degree angles when applied, marked once per 1 meter
12.2其他相关标准参照鹏鼎内部《管道标识作业规范SI-3B0-040》执行
12.2 Other relevant standards refer to Avary Holding internal standard 《Pipeline Marking Operation Specification SI-3B0-040》"
"操作人性化
User-friendly operation","11.阀门标识要求：
11. Valve marking requirements:
a.设备阀门及阀门吊牌色号：常闭状态（红色 PANTONE 185C）、可调节（蓝色 PANTONE Blue 072C）、常开状态（绿色 PANTONE 3415C），吊牌材质为耐腐蚀塑料，厚度3mm，标识牌上端左右居中打孔，双面均需印刷文字（中英文及数字采用微软正黑粗体简体字，文字颜色为白色）
a. Equipment valve and valve tag color codes: normally closed (red PANTONE 185C), adjustable (blue PANTONE Blue 072C), normally open (green PANTONE 3415C), tag material is corrosion-resistant plastic with 3mm thickness, centered hole at top of tag, text must be printed on both sides (Chinese, English and numbers in Microsoft bold simplified font, text color white)
b.吊牌尺寸规格：长度L=70mm、宽度W=30mm、圆孔直径Ø5mm、孔上端距上边缘5mm、字体尺寸:中文50、英文18
b. Tag size specifications: length L=70mm, width W=30mm, round hole diameter Ø5mm, hole top edge distance 5mm, font size: Chinese 50, English 18
c.吊牌固定方式：干制程采用不锈钢珠链固定，湿制程采用耐腐蚀塑料珠链固定
c. Tag fixing method: dry process uses stainless steel bead chain, wet process uses corrosion-resistant plastic bead chain"
"操作人性化
User-friendly operation","10.传动滚轮须有编号标识，防止安装错误，经常拆卸保养的部分须用不同颜色区分，实现目视化管理
10.Transmission rollers must be numbered to prevent installation errors. Frequently disassembled maintenance parts must be distinguished by different colors for visual management."
"安全保护功能
Security functions","10.上下料处需配备日常开关门板的感应器，建议使用插销式感应器类型
10. Loading and unloading areas require door panel sensors for daily opening and closing; pin-type sensors are recommended."
