项目,规格,验收,备注
智能化要求,机台需配备条码扫描装置（含固定式和手持式两种类型），通过读取流程卡上的条码信息，系统能够自动调用对应的生产工艺参数，同时支持参数的增删操作，历史记录保存容量不少于20条；必须100%达到要求,,
8、售后服务、备件及校准鉴定成本（含使用成本）,8、售后服务、备件及校准鉴定成本（含使用成本）,,
设备控制系统、软件设计要求（含密码限制）,对于PLC可编程逻辑控制器及相关计算机程序，供应商需长期无偿提供编程工具及技术支持，并承诺程序版本终身免费更新维护,,
自动化,机器应预先设计AGV自动导引车的对接端口，确保软硬件配置能够满足自动化物流系统的接入需求,,
翻板功能,系统通过识别基板上的二维码标识，智能判断是否需要对板件进行180度翻转操作,,
"主要部件品牌
The main components brands","25. 伺服马达:三菱/松下/汇川
25. Servo motor: Mitsubishi / Panasonic/Inovance",,
"主要部件品牌
The main components brands","23. 自动加药泵:IWAKI
23. Automatic dosing pump: IWAKI",,
"主要部件品牌
The main components brands","22. 过滤机:Pan world/IWAKI
22. Filter: Pan world / IWAKI",,
"主要部件品牌
The main components brands","21. 减速马达:东方/利茗/精石
21. Deceleration motor: East / Lee Ming/精石",,
"主要部件品牌
The main components brands","10. 指示灯:Fuji/idec
10. Indicator: Fuji / idec",,
"主要部件品牌
The main components brands","7. 传感器:omron/kenyence/sick /京东方
7. Sensor: omron / keyence/sick /BOE",,
"维护保养
maintenance","3.机台运行时零件须有分类分段统计特性（类似汽车的公里数）：比如海绵轮有实际使用时间，设定时间及密码清零等，包含蚀刻1槽叶片滚轮，蚀刻2槽叶片滚轮，隔离段滚轮；插销、轴套等，并且可以上传到厂内的信息后台
3.Equipment running parts must have classification subsection statistical function (similar to the number of kilometers of the car): such as sponge wheel has the actual use of time, set time and password reset, including etching 1 slot blade wheel, etching 2 slot blade wheel, isolation segment wheel; Plugs, bushings, etc., and can be uploaded to the information background of the factory",,
"维护保养
maintenance","2.常维修/拆卸处，螺丝要方便拆卸（拆卸后螺丝不可掉落）！
M4及以上螺丝需打螺丝胶，螺丝胶强度为低强度；M4以下螺丝杆使用前需涂厌氧胶固化24H后使用；注意拆卸应的空间（不可用特殊工具才能拆：一般工具转不动或太长干涉无法拆卸）
2.Frequent maintenance / disassembly place, screw should be easy to disassemble (screw can not fall after disassembly)!
M4 and above screws need screw glue, screw glue strength is low strength; Screw rod below M4 should be coated with anaerobic adhesive before use, after 24 H curing; Pay attention to the space required for disassembly (not available with special tools to remove: general tools can not move or too long interference can not be removed)",,
"机构设计配接
Organization design","8.封闭式机台内部带有摄像头监控，位置角度可调整，且可保存30天以上，方便机故查找真因
8.The enclosed device has a camera monitoring inside, the position angle can be adjusted, and it can be saved for more than 30 days, which is convenient for the machine to find the true cause.",,
"机构设计配接
Organization design","7.所有吸嘴组合件应当有积尘盒，上下滑动需使用UPE耐磨套，不可使用金属与金属摩擦
7.All nozzle assemblies must have dust collector boxes .UPE wear sleeves are required for slideing up and down .Metal on metal friction is not allowed .",,
"操作人性化
User-friendly operation","14.有对接无尘室的机台，无尘室封口需使用透明板的制作防止产品被正压吹起造成卡板
14. There is equipment for docking the cleanroom. The sealing of cleanroom needs to be made of transparent board to prevent the product from being blown up by positive pressure and causing jam (as shown below)",,
"操作人性化
User-friendly operation","12.管道标示：
12.1机台管路需标示流向,流体种类(中英文)为耐酸碱材质,黏贴时需对称及呈90度角,每1M标示ㄧ次
12.1 The equipment pipeline should be marked with flow direction, the type of fluid (Chinese and English) is acid and alkali resistant material, and it should be symmetrical and at a 90-degree angle when sticking, and every 1M should be marked ㄧ times
12.2其他相关标准参照鹏鼎内部《管道标示作业规范SI-3B0-040》执行
12.2 Other relevant standards refer to Avary Holding《Pipe Marking Operation Specification SI-3B0-040》Implementation",,
