"项目","规格","验收","备注"
"主要部件品牌
The main components brands","35.机械手臂：爱普生/发那科/珞石手臂/埃斯顿/海康/汇川/阿童木 /川崎
36.Robotic Arms: EPSON/Fanuc/Techman Robot/Estun/Hikvision/ Inovance/Atomrobot/Kawasaki","YES",
"主要部件品牌
The main components brands","34.滑台／滑轨／螺杆／线马：HIWIN / THK / PI /凯宝
34.Linear Slide/Linear Guide/Ball Screw/Linear Motor: HIWIN/THK/PI/凯宝","YES",
"主要部件品牌
The main components brands","33.吸嘴（SMA厂要求）：SMC/龙之凯
33.Nozzle (SMA Plant Requirements): SMC/龙之凯","YES",
"主要部件品牌
The main components brands","32.步进/调速马达：雷塞（新厂房且有成本考虑时可选用替代品）
32.Stepper/Variable Speed Motor: Leadshine","YES",
"主要部件品牌
The main components brands","31.线马：雅克贝斯/SATA /泰科贝尔
31.Linear Motor：Yakobesi/SATA/Tech-Bell","YES",
"主要部件品牌
The main components brands","30.散热风扇:米思米/卡固
30.Coolling Fan: MiSUMi/KAKU",,"怡合达品牌"
"主要部件品牌
The main components brands","29.电磁阀：SMC(控制空压的)
29. Solenoid valve: SMC (control air pressure)",,
"主要部件品牌
The main components brands","28.气动阀:burkert
28. Pneumatic valve: burkert",,
"主要部件品牌
The main components brands","27.静电消除器:kenyence/omron
27. Static eliminator: kenyence / omron",,
"主要部件品牌
The main components brands","25. 伺服马达:三菱/松下/汇川
25. Servo motor: Mitsubishi / Panasonic/Inovance","YES","三菱/台达"
"主要部件品牌
The main components brands","24. 汽缸:SMC /CKD/亚德克
24. Cylinder: SMC / CKD/AirTAC","YES",
"主要部件品牌
The main components brands","23. 自动加药泵:IWAKI
23. Automatic dosing pump: IWAKI","YES","不涉及"
"主要部件品牌
The main components brands","22. 过滤机:Pan world/IWAKI
22. Filter: Pan world / IWAKI","YES","不涉及"
"主要部件品牌
The main components brands","21. 减速马达:东方/利茗/精石
21. Deceleration motor: East / Lee Ming/精石","YES","东方/凯福"
"主要部件品牌
The main components brands","20. 整流器:三社/台强
20. Rectifier: three clubs / TC-POWER",,"不涉及"
"主要部件品牌
The main components brands","16.变频器:三菱  /FUJI
16. Inverter: Mitsubishi / FUJI",,"台达"
"主要部件品牌
The main components brands","14.操作开关指示灯:富士;
14. Operation switch indicator: Fuji;",,"和泉"
"主要部件品牌
The main components brands","12. 四色灯:天德 LED型
12.  Four-color lights: Tend LED",,"MACK"
"主要部件品牌
The main components brands","11. 计数器:omron
11. Counter: omron",,"和泉"
"主要部件品牌
The main components brands","10. 指示灯:Fuji/idec
10. Indicator: Fuji / idec","YES","和泉"
"主要部件品牌
The main components brands","9. 计时器:omron
9. timer: omron",,"和泉"
"主要部件品牌
The main components brands","7. 传感器:omron/kenyence/sick /京东方
7. Sensor: omron / keyence/sick /BOE","YES","或同等级品牌"
"主要部件品牌
The main components brands","5. 热继电器:Fuji/三菱
5. Thermal relay: Fuji / Mitsubishi",,"施耐德品牌"
"主要部件品牌
The main components brands","4. 接触器:Fuji/三菱
4. Contactor: Fuji / Mitsubishi",,"施耐德品牌"
"主要部件品牌
The main components brands","3. 空气开关:Fuji/三菱
3. Leakage switch: Fuji / Mitsubishi",,"施耐德品牌"
"维护保养
maintenance","因供货商之设计不良而造成工安事故,及产能和财务损失,将不受供货商之保固期限制,且我公司保留要求供货商赔偿及法律起诉的权利.
Due to poor design of the supplier caused by industrial accidents, and production and financial losses, will not be limited by the supplier's warranty period, and our company reserves the right to require compensation and legal prosecution of the company.",,
"维护保养
maintenance","3.设备厂商提供设备零件列表，并提供调拨到厂的时效性，超过8H的需在当地建立库存，如有违反对厂内生产造成的损失需厂商承担
3. The equipment manufacturer shall provide the list of equipment parts and the effectiveness of the transfer to the factory.Inventory shall be established locally for more than 8 hours and the manufacturer shall bear the loss caused in the factory if it violates the opposition.",,
